Year,Average Log Return
2000,-0.00014576617017769033
2001,-3.9342059353350235e-05
2002,9.337341129452409e-05
2003,0.0007967701370432782
2004,0.0014891511532350147
2005,0.001057478857387475
2006,0.0009616673617774736
2007,-3.409441158872966e-05
2008,-0.0037423564570697714
2009,0.0017626520277520864
2010,0.000847079059496461
2011,-0.0015582486537054781
2012,0.0008587783068686852
2013,0.00045380228116255646
2014,-0.00012465088336776882
2015,0.00022417692179658156
2016,0.00013466112430260996
2017,0.0007644910146645533
2018,-0.00045227466330821794
2019,0.0003796003196363069
2020,-0.0002815019788907932
2021,0.0009984752678847218
2022,-0.0008028077515527893
2023,0.0003132059445608717
